,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manually Add,Manually Add,Manually Add,Manually Add,,,Lookup from Alumni Report,Lookup from Alumni Report,I organized these columns to be in the beginning of the report for pivot table/reporting purposes,,,,,,,,,Manually Add,,,Manually Add,,Lookup from Student Affairs Spreadsheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International,Filled out survey,APSIA Job Category,APSIA Sector Category,Date Reported - NEW,Outcome,Concentration,Degree,Sector,Detailed Industry,Organization Name,Division,Job Title,Job City,Job State,Job Country,Job Title,Master Salary for Employment Statistics,Salary Range,Salary,LinkedIn Outcome Findings,Citizenship Status,OSA Country of Citizenship Lookup,Job Location State,Job Location Country,Sector,Detailed Industry,Job Phase,Job Source,"If you are not employed, are you currently seeking employment?",Continuing Education Full-time?,Organization Name,Company Description,Include in Reporting,30 hrs per week,Approximately how many hours a week do you serve?,Country where serving,Date of Offer Received,Degree to be Pursued After Graduation,Do you have a three (3) year STEM OPT visa?,Employer consideration for STEM,Gender,Approximately how many hours each month do you plan to volunteer?,Is Approved,Military Rank,Name of School in case of Continued Education,Program Name,Returning to previous employer,Scope of Organization,Self-employed,Sponsorship by Employer,Standard Job Source,What type of Own Venture is this?,What is the name of the fellowship program?,What will your enrollment status be at this school?,When did you actively start applying for a full-time job?,Why are you not seeking employment?,Base Salary Pay Period,Carried Interest Pay Period,Expected Bonus Pay Period,Expected Commission Pay Period,Guaranteed Bonus Pay Period,I'm volunteering and not currently receiving compensation,Salary plus Bonuses,Total Compensation Pay Period,End Date,Length of Commitment,Reported Date,Start Date,What is your approximate start date?,City,Country,Job Location,Metro Area,Postal Code,US State / Canada Province,Did this job come as a result of an internship you had with this employer?,Is this a faculty position?,Is this a freelance position?,Is this a full-time position?,Is this a post-graduation internship?,Is this a temporary/contract job?,Is this a tenured position?,Is your position a fellowship?,Other Outcome Additional Details,Please provide other pertinent information about your job,Reason for Rejecting,Will you be or are you currently working under Optional Practical Training (OPT) status?,Working at a Recently Founded Organization
No,Yes,<30 hours per week,For profit,10/15/2023,Job,INTERNATIONAL SECURITY POLICY,MIA,Private,Other – Business Services,10a Labs,N/A,Senior Analyst,"Washington, DC",,United States,Senior Analyst,,"o	$75,000-$79,999","o	$75,000-$79,999",,,,"Washington, DC",United States,Private,Other – Business Services,Post Graduation,Faculty Contact,,,,"10a Labs is a research and advisory firm that helps technology companies address the negative externalities of the internet — sophisticated and persistent bad actors, foreign- and domestic-sponsored disinformation operations, medical misinformation, and dangerous organizations.",Yes,No,,United States (USA),07/13/2023,,No,,Female,,Yes,,,,No,,No,No,School Facilitated,,,,,,,per year,,,,,"$75,000 plus $1,500 signing bonus",,,,10/15/2023,09/11/2023,09/11/2023,Washington - DC,United States (USA),100% Remote,Washington-Baltimore-Northern Virginia -- DC-MD-VA-WV,,District of Columbia,Yes,,,Yes,No,No,,No,,,,No,Yes
Yes,Yes,,,07/17/2023,Job,No Concentration,MPA-ESP,Private,Consulting,17 Asset Management,,Sustainable Investing Fellow,"New York,",NY,United States,,,,,,,,,,,,Post Graduation,,I have interviewed for one or more opportunities but have not received an offer of employment,,,,Yes,,,,,,,,Female,,Yes,,,,,,,,,,,,o	Spring 2023,,,per year,,,,,,,,,07/17/2023,,,,,,,,,,,,,,,,,,,,,
Yes,No,Unknown,,,Unreported,Economic and Political Development,MPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,Non-profit,,Job,No Concentration,MPA-MDP,Nonprofit,Public Interest/Advocacy,Abdul Latif Jameel Poverty Action Lab (J-PAL),,Senior Policy Associate,"Boston, ",MA,United States,,,,,,,,MA,United States,Non-profit,Public Interest/Advocacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,Unknown,,,Unreported,Urban and Social Policy,MPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,Still Seeking Employment,,07/09/2023,Job,No Concentration,MPA-MDP,Private,Finance/Banking,ISS ESG,,Contract,"Rockville,",Maryland,United States,,,,,,,,,,,,Post Graduation,,I have interviewed for one or more opportunities but have not received an offer of employment,,,,Yes,,,,,,,,Female,,Yes,,,,,,,,,,,,o	Spring 2023,,,per year,,,,,,,,,07/09/2023,,,,,,,,,,,,,,,,,,,,,
No,No,30 Hours per week,Non-profit,,Job,Economic and Political Development,MIA,Nonprofit,Public Interest/Advocacy,Abdul Latif Jameel Poverty Action Lab (J-PAL),,Senior Policy Associate,"Cambridge, ",MA,United States,,,,,,,,MA,United States,Non-profit,Public Interest/Advocacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,Non-profit,,Job,Economic and Political Development,MPA,Nonprofit,Public Interest/Advocacy,Abdul Latif Jameel Poverty Action Lab (J-PAL),,Training and Policy Associate,"Jakarta,",,Indonesia,,,,,,,,,Indonesia,Non-profit,Public Interest/Advocacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,Still Seeking Employment,,07/16/2023,Still Seeking Employment,Economic and Political Development,MPA,,,,,,,,,,,,,,,,,,,,Post Graduation,,I have applied for one or more opportunities but have not received an invitation to interview,,,,Yes,,,,,,,,Female,,Yes,,,,,,,,,,,,o	I have not started actively applying.,,,per year,,,,,,,,,07/16/2023,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,30 Hours per week,Non-profit,11/10/2023,Job,ECONOMIC AND POLITICAL DEVELOPMENT,MPA,Nonprofit,Public Interest/Advocacy,ACDI/VOCA,,Impact Investement Specialist,,,Africa,,,,,,,,,Africa,Non-profit,Public Interest/Advocacy,Post Graduation,,I have interviewed for one or more opportunities but have not received an offer of employment,,,,Yes,,,,,,,,Female,,Yes,,,,,,,,,,,,o	Spring 2023,,,,,,,,,,,,11/10/2023,,,,,,,,,,,,,,,,,,,,,
Yes,No,Unknown,,,Job,No Concentration,MPA-EPM,Nonprofit,University/Education,University of Notre Dame,,Research Associate,"Notre Dame,",Indiana,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,Unknown,,,Unreported,ENERGY AND ENVIRONMENT,MPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,Unknown,,02/26/2024,Still Seeking Employment,International Security Policy,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,,,,Job,No Concentration,MPA-ESP,Private,Consulting,Adamantine Energy,,"
Analyst","New York,",NY,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,For profit,,Job,ENERGY AND ENVIRONMENT,MPA,Private,Other – Business Services,Advanced Power,,"Financial Analyst, Capital Markets and Investments","Boston, ",MA,United States,,,,,,,,MA,United States,Private,Other – Business Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,30 Hours per week,For profit,,Job,Urban and Social Policy,MPA,Private,Other – Business Services,Adyn,,Partnerships,"New York,",NY,United States,,,,,,,,NY,United States,Private,Other – Business Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,,,02/23/2024,Job,No Concentration,MPA-ESP,Private,Consulting,AECOM,,Climate Adaptation and Resilience Planner,"Seattle,",WA,United States,,,"o	$110,000-$114,999","o	$110,000-$114,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,,,,Job,DUAL MPA/MPP: SIPA and Lee Kuan Yew,MPA,Private,Consulting,AECOM,,EHS Consultant ,,,Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
